Price_Date,States,Commodity,Price
14-Jul-20,Delhi,Mango,5417.00
14-Jul-20,Delhi,Mango,2722.00
14-Jul-20,Delhi,Mango,1900.00
13-Jul-20,Delhi,Mango,5750.00
13-Jul-20,Delhi,Mango,2625.00
13-Jul-20,Delhi,Mango,2100.00
11-Jul-20,Delhi,Mango,5750.00
11-Jul-20,Delhi,Mango,2625.00
11-Jul-20,Delhi,Mango,2100.00
10-Jul-20,Delhi,Mango,5750.00
10-Jul-20,Delhi,Mango,2625.00
10-Jul-20,Delhi,Mango,2100.00
09-Jul-20,Delhi,Mango,5781.00
09-Jul-20,Delhi,Mango,2625.00
09-Jul-20,Delhi,Mango,2150.00
08-Jul-20,Delhi,Mango,5781.00
08-Jul-20,Delhi,Mango,2625.00
08-Jul-20,Delhi,Mango,2150.00
07-Jul-20,Delhi,Mango,6292.00
07-Jul-20,Delhi,Mango,2625.00
07-Jul-20,Delhi,Mango,2400.00
06-Jul-20,Delhi,Mango,6292.00
06-Jul-20,Delhi,Mango,2625.00
06-Jul-20,Delhi,Mango,2400.00
04-Jul-20,Delhi,Mango,6583.00
04-Jul-20,Delhi,Mango,2792.00
04-Jul-20,Delhi,Mango,2475.00
03-Jul-20,Delhi,Mango,6083.00
03-Jul-20,Delhi,Mango,2792.00
03-Jul-20,Delhi,Mango,2475.00
02-Jul-20,Delhi,Mango,6083.00
02-Jul-20,Delhi,Mango,2792.00
02-Jul-20,Delhi,Mango,2475.00
01-Jul-20,Delhi,Mango,6500.00
01-Jul-20,Delhi,Mango,2000.00
01-Jul-20,Delhi,Mango,2475.00
30-Jun-20,Delhi,Mango,6500.00
30-Jun-20,Delhi,Mango,2000.00
30-Jun-20,Delhi,Mango,2608.00
30-Jun-20,Delhi,Mango,1983.00
29-Jun-20,Delhi,Mango,6500.00
29-Jun-20,Delhi,Mango,2000.00
29-Jun-20,Delhi,Mango,2642.00
27-Jun-20,Delhi,Mango,6667.00
27-Jun-20,Delhi,Mango,2000.00
27-Jun-20,Delhi,Mango,2850.00
27-Jun-20,Delhi,Mango,1983.00
26-Jun-20,Delhi,Mango,6667.00
26-Jun-20,Delhi,Mango,2000.00
26-Jun-20,Delhi,Mango,2813.00
26-Jun-20,Delhi,Mango,1983.00
25-Jun-20,Delhi,Mango,7167.00
25-Jun-20,Delhi,Mango,2683.00
25-Jun-20,Delhi,Mango,3238.00
25-Jun-20,Delhi,Mango,5500.00
24-Jun-20,Delhi,Mango,2495.00
23-Jun-20,Delhi,Mango,7176.00
23-Jun-20,Delhi,Mango,2000.00
23-Jun-20,Delhi,Mango,2548.00
23-Jun-20,Delhi,Mango,4000.00
22-Jun-20,Delhi,Mango,5342.00
22-Jun-20,Delhi,Mango,2000.00
22-Jun-20,Delhi,Mango,2507.00
22-Jun-20,Delhi,Mango,2519.00
20-Jun-20,Delhi,Mango,7292.00
20-Jun-20,Delhi,Mango,2000.00
20-Jun-20,Delhi,Mango,2584.00
20-Jun-20,Delhi,Mango,2731.00
19-Jun-20,Delhi,Mango,7292.00
19-Jun-20,Delhi,Mango,2000.00
19-Jun-20,Delhi,Mango,2507.00
19-Jun-20,Delhi,Mango,2058.00
18-Jun-20,Delhi,Mango,7292.00
18-Jun-20,Delhi,Mango,2000.00
18-Jun-20,Delhi,Mango,2642.00
18-Jun-20,Delhi,Mango,3313.00
17-Jun-20,Delhi,Mango,7125.00
17-Jun-20,Delhi,Mango,2000.00
17-Jun-20,Delhi,Mango,2642.00
17-Jun-20,Delhi,Mango,3313.00
16-Jun-20,Delhi,Mango,4250.00
16-Jun-20,Delhi,Mango,2250.00
16-Jun-20,Delhi,Mango,2631.00
